smiles,property_id,type,value,split
C,toy_oxygen,binary,0,train
C,toy_nitrogen,binary,0,train
C,toy_atoms,numeric,1,train
CC,toy_oxygen,binary,0,train
CC,toy_nitrogen,binary,0,train
CC,toy_atoms,numeric,2,train
CCC,toy_oxygen,binary,0,train
CCC,toy_nitrogen,binary,0,train
CCC,toy_atoms,numeric,3,train
CO,toy_oxygen,binary,1,train
CO,toy_nitrogen,binary,0,train
CO,toy_atoms,numeric,2,train
CCO,toy_oxygen,binary,1,train
CCO,toy_nitrogen,binary,0,train
CCO,toy_atoms,numeric,3,train
CCCO,toy_oxygen,binary,1,train
CCCO,toy_nitrogen,binary,0,train
CCCO,toy_atoms,numeric,4,train
CN,toy_oxygen,binary,0,train
CN,toy_nitrogen,binary,1,train
CN,toy_atoms,numeric,2,train
CCN,toy_oxygen,binary,0,train
CCN,toy_nitrogen,binary,1,train
CCN,toy_atoms,numeric,3,train
CCCN,toy_oxygen,binary,0,train
CCCN,toy_nitrogen,binary,1,train
CCCN,toy_atoms,numeric,4,train
C=O,toy_oxygen,binary,1,train
C=O,toy_nitrogen,binary,0,train
C=O,toy_atoms,numeric,2,train
CC=O,toy_oxygen,binary,1,train
CC=O,toy_nitrogen,binary,0,train
CC=O,toy_atoms,numeric,3,train
CC(=O)O,toy_oxygen,binary,1,train
CC(=O)O,toy_nitrogen,binary,0,train
CC(=O)O,toy_atoms,numeric,4,train
CNC,toy_oxygen,binary,0,train
CNC,toy_nitrogen,binary,1,train
CNC,toy_atoms,numeric,3,train
COC,toy_oxygen,binary,1,train
COC,toy_nitrogen,binary,0,train
COC,toy_atoms,numeric,3,train
CCOC,toy_oxygen,binary,1,train
CCOC,toy_nitrogen,binary,0,train
CCOC,toy_atoms,numeric,4,train
CC(C)O,toy_oxygen,binary,1,train
CC(C)O,toy_nitrogen,binary,0,train
CC(C)O,toy_atoms,numeric,4,train
CCCC,toy_oxygen,binary,0,validation
CCCC,toy_nitrogen,binary,0,validation
CCCC,toy_atoms,numeric,4,validation
CCCCO,toy_oxygen,binary,1,validation
CCCCO,toy_nitrogen,binary,0,validation
CCCCO,toy_atoms,numeric,5,validation
CCCCN,toy_oxygen,binary,0,validation
CCCCN,toy_nitrogen,binary,1,validation
CCCCN,toy_atoms,numeric,5,validation
CC(=O)N,toy_oxygen,binary,1,validation
CC(=O)N,toy_nitrogen,binary,1,validation
CC(=O)N,toy_atoms,numeric,4,validation
CCCCC,toy_oxygen,binary,0,test
CCCCC,toy_nitrogen,binary,0,test
CCCCC,toy_atoms,numeric,5,test
CCCCCO,toy_oxygen,binary,1,test
CCCCCO,toy_nitrogen,binary,0,test
CCCCCO,toy_atoms,numeric,6,test
CCCCCN,toy_oxygen,binary,0,test
CCCCCN,toy_nitrogen,binary,1,test
CCCCCN,toy_atoms,numeric,6,test
CCC(=O)O,toy_oxygen,binary,1,test
CCC(=O)O,toy_nitrogen,binary,0,test
CCC(=O)O,toy_atoms,numeric,5,test
